timestamp,verification_result,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,watch,headphone,closedbook,earpiece,cell phone,openbook,chits,sheet,H-Distance,F-Distance,split,video,is_cheating
0-00-52.900000,1,1.0,0,0.5510235412440937,1,169.0,0.0,0.0,0.0,29.531602658634114,1,2,0,0,0,0,1,0,0,0,90.55385138137417,10000.0,Train,Video1,1
0-00-15.400000,1,1.0,0,0.45666947406960384,0,26.5,0.0,0.0,0.0,8.154489361469215,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-08.300000,1,1.0,0,0.42334718496365775,0,65.0,0.0,0.0,0.0,9.79785785558383,4,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-36.150000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,1,0,0,0,122.723265927859,10000.0,Train,Video1,1
0-00-32.900000,1,1.0,0,0.45896719662080915,0,97.0,0.0,0.0,0.0,4.36157505108421,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-03.800000,1,1.0,0,0.5105380369973381,0,89.0,0.0,0.0,0.0,2.4927142435784906,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-05.950000,1,1.0,0,0.4364819714844941,0,16.5,0.0,0.0,0.0,6.575758387538085,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-53.750000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-35.800000,1,1.0,0,0.4859011416119772,0,131.0,0.0,0.0,0.0,2.7145235320176093,0,0,0,0,0,0,1,0,0,0,122.0245876862528,10000.0,Train,Video1,1
0-02-09.200000,1,2.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-56.150000,1,1.0,0,0.4739508608200473,0,79.0,0.0,0.0,0.0,9.732746778010279,0,0,0,0,0,0,1,0,0,0,101.04454463255303,10000.0,Train,Video1,1
0-00-24.150000,1,1.0,0,0.48308615039636993,0,19.5,0.0,0.0,0.0,8.31687153788674,0,0,0,1,0,0,0,0,0,0,10000.0,144.89996549343965,Train,Video1,1
0-01-08.150000,1,1.0,0,0.48141946977906175,0,39.0,0.0,0.0,0.0,1.39092774689037,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-33.750000,1,1.0,1,0.6295565609336735,0,50.5,0.0,0.0,0.0,4.829094144885165,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-04.900000,1,1.0,0,0.447213595499958,0,31.5,0.0,0.0,0.0,5.161556691704377,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-52.650000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-56.350000,1,1.0,0,0.4819248087598048,0,46.0,0.0,0.0,0.0,8.70932862635415,0,0,0,0,0,0,1,0,0,0,102.17631819555841,10000.0,Train,Video1,1
0-00-19.450000,1,1.0,0,0.4417261042993862,0,48.5,0.0,0.0,0.0,8.880098122371178,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-14.050000,1,1.0,0,0.439645983268387,0,31.5,0.0,0.0,0.0,4.636065979270022,0,0,0,1,0,0,1,0,0,0,115.20850663036997,10000.0,Train,Video1,1
0-01-37.550000,1,1.0,0,0.46482081941387254,0,96.0,0.0,0.0,0.0,4.86199869124062,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-14.850000,1,1.0,0,0.44175798291988017,0,76.5,0.0,0.0,0.0,6.895582044769704,0,0,0,1,0,0,1,0,0,0,112.4144118874444,10000.0,Train,Video1,1
0-00-11.450000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-22.550000,1,1.0,0,0.5,2,982.0,0.0,0.0,0.0,14.037652761946331,4,1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-38.200000,1,1.0,0,0.4550725827824858,0,18.0,0.0,0.0,0.0,3.83990005517255,0,0,0,0,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-01.050000,1,1.0,0,0.4653606231237664,1,285.0,0.0,0.0,0.0,8.177406177214923,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-28.700000,1,1.0,0,0.4485347611419462,0,73.0,0.0,0.0,0.0,4.333506197773225,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-17.300000,1,1.0,0,0.4799503135982258,0,18.0,0.0,0.0,0.0,1.7904168398012246,0,0,0,1,0,0,1,0,0,0,119.00420160649792,10000.0,Train,Video1,1
